INCIDENT_ID,FIRST_OCCURENCE_DATE,LAST_OCCURENCE_DATE,REPORTDATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,DISTRICT_ID,PRECINCT_ID,OFFENSE_CODE,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,MJ_RELATION_TYPE,NEIGHBORHOOD_ID
2012118510,23-Mar-12,,23-Mar-12,7801 E COLFAX AVE,3169510,1695148,2,223,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"INDUSTRY",east-colfax
2016487624,2-Aug-16,2-Aug-16,2-Aug-16,2042 S BANNOCK ST,3143656,1672758,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",overland
2015288724,26-May-15,26-May-15,26-May-15,1250 5TH ST,3137727,1695300,1,123,3560,DRUG - MARIJUANA SELL,Drug Offenses,"NON-INDUSTRY",auraria
2015288724,26-May-15,26-May-15,26-May-15,1250 5TH ST,3137727,1695300,1,123,1313,ASSAULT - SIMPLE,Simple Assault,"NON-INDUSTRY",auraria
2014481540,11-Sep-14,,11-Sep-14,356 N BROADWAY ST,3144196,1688213,3,311,2399,THEFT - OTHER,Larceny,"NON-INDUSTRY",speer
2012397409,29-Aug-12,29-Aug-12,29-Aug-12,1133 S BANNOCK ST,3143409,1678844,3,311,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",overland
2015513377,4-Sep-15,5-Sep-15,5-Sep-15,970 N LINCOLN ST,3144639,1691795,6,623,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",capitol-hill
2014514047,28-Sep-14,,28-Sep-14,3397 W VIRGINIA AVE,3131950,1683082,4,412,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",westwood
2012309742,12-Jul-12,12-Jul-12,12-Jul-12,1800 LAWRENCE ST,3142358,1698631,6,611,2399,THEFT - OTHER,Larceny,"NON-INDUSTRY",cbd
2013127962,20-Mar-13,20-Mar-13,20-Mar-13,1660 E 40TH AVE,3149731,1706807,2,211,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",cole
2013459066,24-Sep-13,24-Sep-13,24-Sep-13,1201 W CUSTER PL,3140182,1682761,4,412,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",athmar-park
2012181104,1-May-12,1-May-12,1-May-12,4513 N FAIRPLAY WAY,3192091,1708266,5,512,1208,ROBBERY - RESIDENCE,Robbery-Street-Res,"NON-INDUSTRY",montbello
201311461,8-Jan-13,8-Jan-13,8-Jan-13,2252 S KALAMATH ST,3140613,1671365,4,422,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",college-view-south-platte
2012322552,19-Jul-12,19-Jul-12,19-Jul-12,1201 W CUSTER PL,3140182,1682761,4,412,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",athmar-park
2016415402,2-Jul-16,,2-Jul-16,550 N ALTON WAY,3174900,1689147,3,321,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",lowry-field
2012309584,12-Jul-12,12-Jul-12,12-Jul-12,2042 ARAPAHOE ST,3143416,1699248,6,611,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",five-points
2014372844,18-Jul-14,18-Jul-14,18-Jul-14,1499 N BROADWAY ST,3144130,1694794,6,611,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",civic-center
2013278959,19-Jun-13,20-Jun-13,20-Jun-13,2777 S COLORADO BLVD,3157354,1667895,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",wellshire
2014409853,5-Aug-14,,6-Aug-14,5926 E COLFAX AVE,3163489,1694951,2,222,2308,THEFT - FROM BLDG,Larceny,"INDUSTRY",montclair
2016496274,5-Aug-16,5-Aug-16,5-Aug-16,2101 15TH ST,3138734,1700098,6,612,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",union-station
2016648048,8-Oct-16,9-Oct-16,9-Oct-16,324 S LEYDEN ST,3164614,1684229,3,321,2399,THEFT - OTHER,Larceny,"NON-INDUSTRY",washington-virginia-vale
2013250916,4-Jun-13,4-Jun-13,4-Jun-13,1755 S BROADWAY ST,3144171,1674691,3,313,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"INDUSTRY",overland
2016527465,19-Aug-16,19-Aug-16,19-Aug-16,1100 N YUMA CT,3136556,1692610,1,123,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",lincoln-park
201491524,21-Feb-14,,21-Feb-14,2028 E COLFAX AVE,3151143,1694813,6,622,1313,ASSAULT - SIMPLE,Simple Assault,"INDUSTRY",cheesman-park
2016794394,13-Dec-16,13-Dec-16,13-Dec-16,1135 S JASON ST,3140880,1678789,4,422,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",ruby-hill
2015549237,21-Sep-15,21-Sep-15,21-Sep-15,1550 N BROADWAY ST,3144340,1695281,6,621,1205,ROBBERY - STREET,Robbery-Street-Res,"NON-INDUSTRY",north-capitol-hill
201383072,20-Feb-13,20-Feb-13,20-Feb-13,4773 N FOX ST,3142062,1710572,1,112,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",globeville
2012118530,23-Mar-12,23-Mar-12,23-Mar-12,2028 E COLFAX AVE,3151143,1694813,6,622,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",cheesman-park
2012266789,19-Jun-12,19-Jun-12,19-Jun-12,4935 N PEARL ST,3146007,1711682,1,112,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",globeville
2016639543,5-Oct-16,5-Oct-16,5-Oct-16,1454 N SYRACUSE ST,3169185,1694813,2,223,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,"NON-INDUSTRY",east-colfax
2016329475,26-May-16,,26-May-16,1055 19TH ST,3143054,1698655,6,611,1315,AGGRAVATED ASSAULT,Agg ASLT-Other,"NON-INDUSTRY",cbd
2014672557,20-Dec-14,,20-Dec-14,2917 S STUART ST,3127958,1666394,4,423,2399,THEFT - OTHER,Larceny,"NON-INDUSTRY",harvey-park-south
201499873,26-Feb-14,26-Feb-14,26-Feb-14,9700 E ILIFF AVE,3176311,1670689,3,323,2308,THEFT - FROM BLDG,Larceny,"NON-INDUSTRY",hampden
2015497371,28-Aug-15,29-Aug-15,29-Aug-15,3814 WALNUT ST,3148591,1705976,2,211,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",cole
2013484587,8-Oct-13,8-Oct-13,8-Oct-13,4414 N VINE ST,3151174,1708722,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,"INDUSTRY",elyria-swansea
